v17,v24af,kon,v75,v76
3,0,2,60,155
3,1,2,57,160
3,2,2,61,170
3,2,2,68,165
3,3,2,50,162
4,6,2,60,156
3,1,2,75,165
3,0,2,51,162
3,6,2,62,167
3,0,2,64,182
3,0,2,63,168
3,0,2,57,167
3,0,2,56,159
4,0,2,,175
3,0,2,48,161
3,2,2,67,164
3,0,2,66,173
3,0,2,74,165
3,0,2,64,167
3,0,2,70,162
3,0,2,52,164
3,0,2,68,170
3,1,2,55,165
3,0,2,71,165
3,0,2,54,160
3,1,2,60,172
3,0,2,63,167
3,1,2,57,168
3,0,2,68,173
3,0,2,65,162
3,1,2,57,161
3,0,2,51,163
,0,2,67,165
3,0,2,62,158
3,4,2,65,180
2,15,2,65,165
4,0,2,80,162.5
3,0,2,61,166
3,0,2,60,149
3,3,2,56,175
3,2,2,51,164
3,0,2,94,160
1,0,2,55,165
3,0,2,58,170
,,2,60,163
2,0,2,74,178
4,0,2,61,159
3,0,2,58,175
3,0,2,53,165
2,0,2,60,175
3,0,2,63,172
3,1,2,55,175
3,0,2,55,168
1,6,2,,167
3,0,2,49.5,159
3,0,2,80,170
3,0,2,70,160
3,3,2,70,160
3,0,2,65,175
3,0,2,,169
3,0,2,75,166
3,0,2,65,160
3,2,2,62,173
4,0,2,52,168
4,0,2,90,158
3,1,2,54,169
3,1,2,70,189
3,0,2,58,160
3,0,2,64,167
,,2,82,167
3,0,2,59,169
3,2,2,85,167
3,0,2,95,175
3,1,2,67,178
4,0,2,55,164
3,0,2,60,164
3,0,2,56,168
3,4,2,64,180
,,2,60,168
4,0,2,78,174
3,0,2,66,180
3,0,2,50,165
2,1,2,72,174
3,0,2,59,172
3,2,2,55,164
3,0,2,73,182
3,0,2,60,169
4,0,2,68,168
4,3,2,52,153
4,0,2,61,168
3,0,2,80,169
4,0,2,59,168
4,0,2,64,174
4,2,2,80,177
3,0,2,66,172
3,0,2,,180
3,0,2,55.5,168
4,0,2,63,165
3,18,2,58,170
4,0,2,51,162
3,3,2,65,178
3,1,2,66.5,178
3,5,2,65,170
3,0,2,62,171
2,0,2,65,173
3,0,2,68,168
3,3,2,57,163
2,0,2,54,160
3,0,2,70,179
3,0,2,67,167
4,0,2,54,172
3,0,2,85,170
3,1,2,78,184
3,0,2,56,171
3,0,2,66.5,160
3,1,2,74,167
3,0,2,89,173
2,0,2,,169
,0,2,88,166
3,0,2,78,165
3,0,2,89,165
3,0,2,53,168
3,1,2,89,164
3,0,2,54,173
3,0,2,78,171
3,0,2,54,165
,0,2,,
3,4,2,73,170
3,2,2,60,176
3,0,2,71,168
3,0,2,59,164
3,0,2,75,167
3,0,2,75,172
3,0,2,,163
3,0,2,64,172
2,0,2,63,170
3,25,2,90,177
4,0,2,92,164
3,0,2,60,165
3,10,2,50,162
3,4,2,60,155
3,0,2,59,165
3,0,2,47,152
3,0,2,57,173
3,0,2,73,170
3,0,2,58,169
3,0,2,67,156
3,0,2,79,180
3,0,2,64,168
3,1,2,54.5,168
2,1.5,2,65,170
3,0,2,60,160
3,1,2,68,165
3,0,2,59,164
4,0,2,92,198
3,0,2,51,167
4,0,2,62,175
2,3,2,76,174
3,0,2,50,168
2,0,2,64,180
4,0,2,54,172
3,0,2,53,165
3,2,2,70,170
3,0,2,53,164
3,0,2,54,173
1,0,2,60,168
3,0,2,60,164
2,0,2,56,168.5
3,0,2,58,167
3,0,2,63,168
3,0,2,98,162
1,0,2,53,170
3,0,2,95,182
3,0,2,59,153
3,0,2,58,162
2,2,2,,163
3,0,2,59,164
1,0,2,57,160
,0,2,47,160
3,0,2,70,170
3,0,2,90,168
3,0,2,61,162
3,1,2,67,176
2,2,2,59,170
3,1,2,65,195
3,1,2,68.5,166
2,0,2,60,175
2,0,2,68,178
3,0,2,81,183
3,0,2,52,161
3,0,2,99,172
3,5.5,2,60,169
3,0,2,67,170
3,0,2,85,159
3,0,2,64,172
3,4,2,75,158
3,4,2,62,180
3,0,2,68,179
3,0,2,65,162
4,0,2,67,162
3,2,2,68,168
3,0,2,60,168
3,0,2,60,160
3,4,2,55,156
4,,2,63,158
,,2,45,158
3,0,2,65,165
4,3,2,62,172
3,0,2,69,169
3,0,2,68,171
3,0,2,62,160
3,0,2,87,176
3,0,2,78,167
3,1,2,54,168
3,0,2,54,162
3,0,2,64,174
3,1,2,56,173
2,0,2,62,175
4,0,2,54,169
3,0,2,55,166
3,0,2,53,159
3,0,2,73,173
3,0,2,60,167
3,0,2,60,164
3,0,2,55,166
3,0,2,85,164
3,0,2,67,175
2,0,2,73,178
3,0,2,70,170
3,0,2,69,164
4,0,2,53,160
3,0,2,60,174
3,0,2,66,172
4,0,2,90,159
3,0,2,58,165
3,0,2,67,165
2,0,2,65,165
3,0,2,70,165
4,0,2,47,163
3,0,2,61,169
4,0,2,62,160
,0,2,75,165
4,0,2,45,168
3,0,2,65,165
3,3,2,45,160
3,0,2,60,168
3,0,2,55,163
3,0,2,82,170
2,1,2,77,166
4,0,2,58,167
2,0,2,54,158
3,0,2,52,160
3,0,2,63,167
3,,2,65,154
3,0,2,65,167
2,3,2,54,163
3,0,2,52,164
3,0,2,78,178
3,10,2,59.5,
4,0,2,51,164
3,0,2,62,164
4,1,2,68,168
,0,2,60,170
3,1,2,65,164
3,0,2,75,173
3,2,2,60,165
3,0,2,90,165
2,0,2,72,182
3,3,2,72,180
3,0,2,,165
3,0,2,,170
3,0,2,57,175
3,2,2,64,178
3,0,2,50,160
,0,2,53,153
4,0,2,59,
3,0,2,70,178
4,,2,50,168
3,0,2,72,160
3,0,2,57,
2,0,2,55,160
,0,2,65,163
3,0,2,57,173
3,0,2,54,168
3,0,2,48,152
3,0,2,69,150
4,2,2,82,174
3,0,2,75,
3,1,2,72,175
3,0,2,69,160
2,1,2,58,169
4,0,2,90,164
3,1,2,65,
3,0,2,68,167
3,0,2,60,173
2,0,2,64,164
3,0,2,82,168
4,0,2,32,153
,0,2,80,172
3,0,2,58,175
3,2,2,90,170
4,0,2,89,158
3,0,2,46,172
3,1,2,57.5,168
3,0,2,78,167
3,1,2,62,166
3,0,2,61,172
2,0,2,73.5,172.5
3,0,2,59,171
3,0,2,65,172
2,0,2,54,164
3,1,2,65,165
1,0,2,59,171
4,,2,45,160
3,0,2,65,167
3,0,2,90,172
3,0,2,70,172
3,0,2,63,163
3,6,2,58,168
3,0,2,58,152
2,0,2,59,170
3,0,2,74,186
4,0,2,73,158
3,,2,,
3,7,2,60,171
3,0,2,54,165
3,0,2,63,165
3,18,2,62,173
3,0,2,53,163
4,0,2,60,157
3,0,2,79,175
3,0,2,65,180
3,0,2,69,170
3,0,2,69,165
3,3,2,52,173
3,0,2,53,167
3,0,2,67,172
4,0,2,65,157
3,0,2,63,172
3,1,2,78,175
3,0,2,64,165
3,0,2,70,160
3,4,2,55,166
2,6,2,70,171
3,0,2,90,171
3,0,2,48,163
4,0,2,52,158
2,0,2,61,170
3,2,2,68,176
,0,2,70,175
3,0,2,78,175
3,0,2,59,161
3,3,2,57,168
3,0,2,60,163
,2,2,63,163
3,3,2,59,172
,0,2,52,165
3,6.5,2,100,179
2,0,2,58,170
3,0,2,63,163
2,0,2,60,170
3,0,2,75,181
2,0,2,53,166
3,0,2,73,180
1,4,2,78,175
3,5,2,87,161
3,3,2,60,165
3,0,2,60,176
3,0,2,80,169
3,0,2,41,160
2,0,2,67,170
3,0,2,71,170
4,0,2,60,157
3,0,2,60,168
3,0,2,65,150
4,1,2,50,160
4,0,2,79,155
3,10,2,70,169
3,5,2,52,152
3,0,2,70,161
3,0,2,,
3,0,2,44,158
3,0,2,53,160
3,,2,68,163
3,0,2,46,163
3,0,2,60,178
3,0,2,40,155
3,1,2,55,156
3,0.5,2,75,176
3,2,2,56,162
2,0,2,83,170
3,0,2,52,170
4,,2,40,166
3,0,2,52,171
3,0,2,65,171
3,1,2,88,165
2,0,2,57,173
4,2,2,77,164
3,0,2,76,174
3,1,2,68,167
3,0,2,87,164
3,0,2,57,170
3,0,2,94,
3,0,2,65,
3,0,2,58,162
3,0,2,85,167
3,0,2,65,164
3,0,2,65,170
2,2,2,56,156
3,0,2,70,170
4,1,2,60,
3,0,2,70,170
3,4,2,63,162
1,0,2,57,170
3,0,2,55,163
3,0,2,83.6,168
2,1,2,70,185
3,0,2,60,
3,0,2,64,170
3,0,2,56,168
4,2,2,55,162
3,0,2,52,165
4,0,2,55,156
3,0,2,61,162
3,0,2,85,170
3,3,2,47,167
3,2,2,73,170
3,6,2,70,160
3,0,2,56,158
3,0,2,60,156
3,0,2,78,180
3,0,2,53,167
3,0,2,48,161
2,0,2,60,170
3,0,2,66,168
3,3,2,74,175
2,1,2,51,162
3,0,2,55,170
3,0,2,82,165
2,0,2,60,169
4,6,2,55,155
3,0,2,69,171
4,2,2,60,172
2,2,2,63,174
3,0,2,52,168
3,0,2,64,172
3,0,2,69,172
2,2,2,50,156
3,1,2,60,175
3,0,2,60,158
3,0,2,58,160
2,0,2,54,163
3,1,2,73,173
2,0,2,75,163
3,0,2,68,164
3,0,2,60,175
3,0,2,53,168
3,0,2,51,164
3,0,2,70,165
3,0,2,61,164
3,5,2,48,163
3,0,2,80,180
3,2,2,70,167
3,0,2,74,168
3,0,2,56,177
3,0,2,60,160
3,0,2,63,165
4,2,2,60,159
3,1,2,70,165
3,0,2,75,180
4,0,2,59.5,175
3,,2,75,160
3,0,2,65,174
2,0,2,62,170
3,0,2,85,178
3,0,2,60,165
3,0,2,84,
3,0.5,2,70,168
3,1,2,78,168
3,0,2,59,172
3,0,2,82,176
1,0,2,59,170
2,0,2,80,180
3,0,2,60,165
3,1,2,80,179
3,0,2,81,169
3,0,2,49,170
3,0,2,58,168
3,1,2,80,180
3,2,2,68,154
3,4,2,60,170
3,0,2,73,165
2,0,2,65,170
3,,2,62,167
3,2,2,78,180
3,0,2,76,170
3,5,2,46,160
3,0,2,56,165
3,0,2,56,161
4,1,2,70,162
3,,2,67,167
3,0,2,107,179
3,0,2,64,172
2,10,2,78,176
3,0,2,53,163
3,0,2,54,172
3,0,2,68,170
2,0,2,65,164
2,4,2,75,180
,0,2,69,168
3,0,2,67,163
3,0,2,70,162
3,1.5,2,61,176
3,0,2,67,180
3,0,2,60,176
3,1,2,65,172
3,0,2,60,162
3,2,2,58,169
3,0,2,65,164
4,0,2,60,162
3,0,2,,169
3,,2,65,168
3,0,2,68,174
3,0,2,56,170
3,0,2,58,173
4,2,2,70,160
3,2,2,55,163
3,0,2,80,150
3,0,2,70,172
3,0,2,67,174
3,0,2,,162
4,0,2,100,173
3,0,2,67,179
3,3,2,85,168
4,,2,72.5,168
3,12,2,66,172
4,0,2,50,157
4,1,2,,171
3,0,2,69,175
2,0,2,60,167
2,0,2,68,170
4,,2,52,150
4,5.5,2,100,164
3,0,2,62,157
3,0,2,75,
3,0,2,60,157
3,0,2,58,164
3,0,2,55,168
3,0,2,58,172
3,0,2,61,165
3,0,2,62,169
3,1,2,57,157
2,0,2,90,170
4,,2,70,162
3,0,2,52,162
3,0,2,62,161
4,0,2,95,162
3,2,2,67,167
2,0,2,76,176
3,0,2,61,170
3,0,2,73,165
3,0,2,70,174
3,0,2,86,176
3,,2,52,
3,,2,64,180
4,0,2,70,
3,,2,53,163
3,0,2,46,162
3,0,2,55,165
,0,2,75,169
4,,2,60,170
2,0.5,2,84,
3,0,2,52,152
3,0,2,57,162
3,4,2,80,178
3,0,2,64,160
4,,2,72,174
4,,2,65,162
4,0,2,53,163
3,0,2,72,163
2,0,2,60,158
3,2,2,75,172
3,0,2,68,167
2,0,2,62,173
3,0,2,79,170
3,2,2,78,178
4,2,2,76,154
3,0,2,60,157
3,0,2,98,168
3,0,2,70,180
3,,2,56,163
3,0,2,,168
3,0,2,56,168
3,0,2,80,168
3,1,2,62,170
3,3,2,60,162
3,7,2,70,175
3,0,2,71,176
1,8,2,,167
3,0,2,55,170
3,2.5,2,92,176
3,0,2,65,169
3,0,2,76,155
3,2,2,66,150
3,,2,82,169
2,0,2,79,165
3,0,2,60,168
3,0,2,47,160
3,0,2,82,179
3,0,2,62,168
3,0,2,50,148
3,3,2,64,168
4,0,2,50,167
3,0,2,92,167
4,2,2,58,168
2,4,2,55,167
2,0,2,60,160
3,0,2,74,168
3,1,2,75,173
3,1,2,64,171
4,0,2,54,
3,0,2,75,159
3,1,2,48,158
2,1,2,78,167
3,0,2,68,169
3,0,2,85,164
2,0,2,53,168
3,0,2,73,173
3,0,2,58,164
4,0,2,65,164
3,1,2,72,167
3,1,2,64,174
4,0,2,75,167
3,0,2,64,162
3,0,2,67,162
2,0,2,55,163
,0,2,43,165
3,0,2,55,164
3,2,2,62,170
3,1,2,72,170
2,1,2,60,167
3,0,2,50,150
2,0,2,,
4,0,2,51,167
3,0,2,75,163
3,0,2,71,170
3,1,2,58,165
3,1,2,70,
,,2,74,169.5
3,7,2,117,182
3,0,2,48,162
3,0,2,48,168
3,0,2,55,164
2,0,2,80,160
3,0,2,75,168
3,0,2,65,166
3,0,2,50,150
,0,2,69,180
3,0,2,59,168
3,0,2,72,179
3,0,2,62,156
3,0,2,64.5,170
3,1,2,63,164
2,0,2,58,173
,2,2,67,172
4,0,2,55,168
3,2,2,65,173
3,2,2,68,172
3,0,2,58,
3,0,2,59,173
4,0,2,80,168
2,8,2,73,182
3,0,2,56,168
2,4,2,66,168
2,2,2,56,160
,0,2,,170
4,0,2,45,148
3,0,2,70,170
3,0,2,60,167
3,0,2,55,163
4,0,2,60,163
3,3,2,50,170
3,2,2,72.5,160
3,0.3,2,73,173
3,0,2,80,172
3,0,2,65,160
3,3,2,70,172
3,0,2,64,168
3,0,2,60,170
3,3,2,42,152
3,0,2,50,167
3,0,2,56,170
4,1,2,62,174
3,3,2,62,165
3,0,2,65,168
3,0,2,75,150
3,0,2,50,166
3,0,2,55,172
3,0,2,48,150
3,0,2,67,173
3,0,2,83,169
3,0,2,99,178
1,0,2,70,173
2,0,2,76,180
3,0,2,62,160
3,0,2,55,157
3,0,2,59,172
3,0,2,69,152
3,0,2,61,167
3,2,2,95,175
3,0,2,67,175
3,3,2,54,163
3,0,2,75,175
3,0,2,61.5,178
3,3,2,49,155
3,0,2,108,170
2,2,2,58,158
2,0,2,50,163
3,6,2,100,165
3,0,2,82,167
,0,2,65,164
3,2,2,68,165
3,0,2,70,173
3,0,2,65,159
3,0,2,65,169
3,0,2,52,150
,0,2,64,166
3,0.5,2,70,178
3,3,2,85,176
3,0,2,72,167
4,0,2,50,161
3,0,2,58,164
3,3,2,50,163
2,0,2,53,164
3,3,2,62,165
2,0,,70,177
,,,,
3,,,,
2,0,,52,155
3,0,,,
3,0,,,
,,,,
,0,,,
2,0,,,
3,0,,,
,,,,
2,0,,,
3,10,,,
3,0,,,
3,1,,,
3,0,,,
3,3,,,
3,0,,,
2,3,,87,189
3,0,,,
,0,,,
,,,,
3,3,,,
3,0,,,
4,,,59,157
3,3,,,
